-91.4443,-8.86549,-6.6573,-15.3252,9.95449,-11.7795
-97.8015,18.375,-3.08255,-20.5085,17.6672,-7.06861
-91.7462,51.266,-7.26871,-63.9435,42.4007,-5.52044
-96.0314,39.753,12.3208,-14.9716,39.1815,2.48207
-83.7046,62.9666,4.08569,-7.83663,59.795,7.38517
-90.0786,-6.59107,3.13266,-36.5711,-2.89721,6.11269
-86.3025,17.9095,55.2955,-39.1053,4.26775,17.1256
-96.8639,24.1891,15.8835,-37.1694,8.90627,9.94178
-91.9607,42.1358,34.8192,-37.0022,17.7148,19.0321
-82.2247,38.8977,72.3008,-36.6162,25.1102,26.682
-65.2278,52.1965,19.4475,-3.45799,47.2735,20.3962
-62.8505,47.9093,41.5487,-4.22839,25.1671,38.7697
-78.1375,69.9079,35.5197,-4.26339,58.9344,41.2367
-82.9794,54.114,60.0785,-4.90859,45.342,55.4296
